"序号","docs文件","代码块或标签","sample工程","sample文件","同步情况","变更摘要","同步前编译","同步后编译","编译情况","备注"
"27","zh-cn/application-dev/ui/ndk-embed-arkts-components.md","arkui_mixed_refresh_cpp","code/DocsSample/ArkUISample/NativeType/NdkEmbedArktsComponents","code/DocsSample/ArkUISample/NativeType/NdkEmbedArktsComponents/entry/src/main/cpp/ArkUIMixedRefresh.cpp","1、通过标签同步","零长度数组改为空指针；创建和更新后关闭handle scope","成功","成功","1、同步后编译成功",""
"28","zh-cn/application-dev/ui/ndk-embed-render-components.md","无标签：testRenderNode/CreateNativeRoot","", "","3、未找到","修正高度属性参数并初始化testNode","不适用","不适用","不适用（未找到 sample 工程）","完整函数在本仓库不存在"
"29","zh-cn/application-dev/ui/ndk-embed-render-components.md","无标签：testRenderNode2/CreateNativeRoot","", "","3、未找到","释放绘制资源、初始化testNode并检查context错误码","不适用","不适用","不适用（未找到 sample 工程）","完整函数在本仓库不存在"
"30","zh-cn/application-dev/ui/ndk-embed-render-components.md","Create_RootNode","code/DocsSample/ArkUISample/NativeRenderNodeSample","code/DocsSample/ArkUISample/NativeRenderNodeSample/entry/src/main/cpp/NativeEntry.cpp","1、通过标签同步","移除重复AddRenderNode调用","成功","成功","1、同步后编译成功",""
"31","zh-cn/application-dev/ui/ndk-node-query-operate.md","ndknodequeryoperate1_start","code/DocsSample/ArkUISample/NdkNodeQueryOperate","code/DocsSample/ArkUISample/NdkNodeQueryOperate/entry/src/main/cpp/InquireUniqueId.cpp","1、通过标签同步","事件用户数据改为静态IdList，避免堆内存泄漏","成功","成功","1、同步后编译成功",""
"32","zh-cn/application-dev/ui/ndk-node-query-operate.md","ndknodequeryoperate3_start","code/DocsSample/ArkUISample/NdkNodeQueryOperate","code/DocsSample/ArkUISample/NdkNodeQueryOperate/entry/src/main/cpp/GetNodeByIdExample.h","1、通过标签同步","直接传递text0句柄并校验接口返回码","成功","成功","1、同步后编译成功",""
"33","zh-cn/application-dev/ui/ndk-node-query-operate.md","ndknodequeryoperate5_start","code/DocsSample/ArkUISample/NdkNodeQueryOperate","code/DocsSample/ArkUISample/NdkNodeQueryOperate/entry/src/main/cpp/MoveToExample.h","1、通过标签同步","事件执行后注销并释放用户数据","成功","成功","1、同步后编译成功",""
"34","zh-cn/application-dev/ui/ndk-node-query-operate.md","ndknodequeryoperate7_start","code/DocsSample/ArkUISample/NdkNodeQueryOperate","code/DocsSample/ArkUISample/NdkNodeQueryOperate/entry/src/main/cpp/Attribute_util.h","1、通过标签同步","修正ImageSyncLoad局部变量命名","成功","成功","1、同步后编译成功",""
"35","zh-cn/application-dev/ui/ndk-node-query-operate.md","ndknodequeryoperate9_start","code/DocsSample/ArkUISample/NdkNodeQueryOperate","code/DocsSample/ArkUISample/NdkNodeQueryOperate/entry/src/main/cpp/ShowSubcomponentInfo.h","1、通过标签同步","修正日志格式占位符","成功","成功","1、同步后编译成功",""
"36","zh-cn/application-dev/ui/ndk-node-query-operate.md","无标签：IsInRenderState Attribute_util.h","", "","3、未找到","修正visibility和margin变量命名","不适用","不适用","不适用（未找到 sample 工程）","该完整代码片段在本仓库不存在；未合并到同名但不同用途文件"
"37","zh-cn/application-dev/ui/ndk-node-query-operate.md","无标签：IsInRenderState napi_init.cpp","", "","3、未找到","修正Attribute_util.h包含文件名","不适用","不适用","不适用（未找到 sample 工程）","该完整代码片段在本仓库不存在"
"38","zh-cn/application-dev/ui/ndk-scope-task.md","runtaskinscopethree_start","code/DocsSample/ArkUISample/NdkScopeTask","code/DocsSample/ArkUISample/NdkScopeTask/entry/src/main/cpp/napi_init.cpp","1、通过标签同步","移除未使用VALUE_3常量","成功","成功","1、同步后编译成功",""
"39","zh-cn/application-dev/ui/ndk-scope-task.md","runtaskinscopetwo_start","code/DocsSample/ArkUISample/NdkScopeTask","code/DocsSample/ArkUISample/NdkScopeTask/entry/src/main/cpp/napi_init.cpp","1、通过标签同步","数值数组改为空初始化后赋值","成功","成功","1、同步后编译成功",""

